Day,' Time','use [kW]',Cluster
0,0,0.586833,cluster1
0,235900,1.183083,cluster1
0,235800,1.585167,cluster1
0,235700,2.5794,cluster1
0,235600,2.440933,cluster1
0,235500,2.456967,cluster1
0,235400,2.447217,cluster1
0,235300,0.9604,cluster1
0,235200,1.025467,cluster1
0,235100,1.08955,cluster1
0,235000,1.371333,cluster1
0,234900,1.402333,cluster1
0,234800,1.18935,cluster1
0,234700,0.920817,cluster1
0,234600,1.043283,cluster1
0,234500,1.1964,cluster1
0,234400,1.249317,cluster1
0,234300,1.236267,cluster1
0,234200,1.304733,cluster1
0,234100,1.4541,cluster1
0,234000,0.785,cluster1
0,233900,0.747433,cluster1
0,233800,0.74625,cluster1
0,233700,0.74765,cluster1
0,233600,0.7458,cluster1
0,233500,0.751133,cluster1
0,233400,0.754867,cluster1
0,233300,0.876033,cluster1
0,233200,1.280467,cluster1
0,233100,2.668433,cluster1
0,233000,3.451867,cluster2
0,232900,3.950333,cluster2
0,232800,3.895,cluster2
0,232700,3.9671,cluster2
0,232600,3.974433,cluster2
0,232500,3.975317,cluster2
0,232400,3.979333,cluster2
0,232300,3.978067,cluster2
0,232200,3.973583,cluster2
0,232100,3.980367,cluster2
0,232000,2.969683,cluster2
0,231900,2.627117,cluster2
0,231800,4.862183,cluster7
0,231700,2.54585,cluster2
0,231600,2.6926,cluster2
0,231500,3.953533,cluster6
0,231400,4.421533,cluster7
0,231300,2.843767,cluster2
0,231200,3.968133,cluster6
0,231100,4.761583,cluster7
0,231000,3.130683,cluster2
0,230900,5.168333,cluster7
0,230800,4.616117,cluster7
0,230700,2.9797,cluster2
0,230600,6.59785,cluster3
0,230500,7.9237,cluster3
0,230400,7.936433,cluster3
0,230300,5.008717,cluster5
0,230200,1.145633,cluster1
0,230100,1.10445,cluster1
0,230000,1.40595,cluster1
0,225900,1.552833,cluster1
0,225800,1.6195,cluster1
0,225700,1.612367,cluster1
0,225600,1.6811,cluster1
0,225500,1.920617,cluster1
0,225400,1.923483,cluster1
0,225300,1.640967,cluster1
0,225200,1.507533,cluster1
0,225100,1.484767,cluster1
0,225000,1.4643,cluster1
0,224900,1.5094,cluster1
0,224800,1.51425,cluster1
0,224700,1.5035,cluster1
0,224600,1.4779,cluster1
0,224500,1.491533,cluster1
0,224400,1.5045,cluster1
0,224300,1.515367,cluster1
0,224200,1.52295,cluster1
0,224100,1.622067,cluster1
0,224000,1.950283,cluster1
0,223900,1.72255,cluster1
0,223800,1.146567,cluster1
0,223700,1.0623,cluster1
0,223600,1.063017,cluster1
0,223500,1.060867,cluster1
0,223400,1.062567,cluster1
0,223300,1.0483,cluster1
0,223200,1.04805,cluster1
0,223100,1.0596,cluster1
0,223000,1.06135,cluster1
0,222900,1.059617,cluster1
0,222800,1.091617,cluster1
0,222700,1.164533,cluster1
0,222600,1.165017,cluster1
0,222500,1.371117,cluster1
0,222400,1.5026,cluster1
0,222300,1.492167,cluster1
0,222200,1.267433,cluster1
0,222100,1.18525,cluster1
0,222000,1.166717,cluster1
0,221900,1.162167,cluster1
0,221800,1.162667,cluster1
0,221700,1.162367,cluster1
0,221600,1.162267,cluster1
0,221500,1.1643,cluster1
0,221400,1.167583,cluster1
0,221300,1.17795,cluster1
0,221200,1.170017,cluster1
0,221100,1.165117,cluster1
0,221000,1.188167,cluster1
0,220900,1.504283,cluster1
0,220800,1.497483,cluster1
0,220700,1.421817,cluster1
0,220600,1.13795,cluster1
0,220500,1.147483,cluster1
0,220400,1.148383,cluster1
0,220300,1.138967,cluster1
0,220200,1.14645,cluster1
0,220100,1.1443,cluster1
0,220000,1.1434,cluster1
0,215900,1.286417,cluster1
0,215800,1.575367,cluster1
0,215700,1.574283,cluster1
0,215600,1.6036,cluster1
0,215500,1.573667,cluster1
0,215400,1.710233,cluster1
0,215300,1.921567,cluster1
0,215200,1.917717,cluster1
0,215100,1.829433,cluster1
0,215000,1.598217,cluster1
0,214900,1.5728,cluster1
0,214800,1.598367,cluster1
0,214700,1.599333,cluster1
0,214600,1.6049,cluster1
0,214500,1.596483,cluster1
0,214400,1.627517,cluster1
0,214300,1.601633,cluster1
0,214200,1.612133,cluster1
0,214100,1.626617,cluster1
0,214000,1.6354,cluster1
0,213900,1.6522,cluster1
0,213800,1.715683,cluster1
0,213700,1.237767,cluster1
0,213600,1.427383,cluster1
0,213500,1.416733,cluster1
0,213400,1.4052,cluster1
0,213300,1.294133,cluster1
0,213200,1.067367,cluster1
0,213100,1.060917,cluster1
0,213000,1.068333,cluster1
0,212900,1.074833,cluster1
0,212800,1.076633,cluster1
0,212700,1.076,cluster1
0,212600,1.43565,cluster1
0,212500,1.45145,cluster1
0,212400,1.451017,cluster1
0,212300,1.449933,cluster1
0,212200,1.444717,cluster1
0,212100,1.453517,cluster1
0,212000,1.445783,cluster1
0,211900,1.35775,cluster1
0,211800,1.2726,cluster1
0,211700,1.265817,cluster1
0,211600,1.440717,cluster1
0,211500,1.6274,cluster1
0,211400,1.946567,cluster1
0,211300,2.009667,cluster1
0,211200,1.9904,cluster1
0,211100,1.744583,cluster1
0,211000,1.67765,cluster1
0,210900,1.657167,cluster1
0,210800,1.6418,cluster1
0,210700,1.540733,cluster1
0,210600,1.4958,cluster1
0,210500,1.4692,cluster1
0,210400,1.429467,cluster1
0,210300,1.4248,cluster1
0,210200,1.426817,cluster1
0,210100,1.43515,cluster1
0,210000,1.423767,cluster1
0,205900,1.374583,cluster1
0,205800,1.148017,cluster1
0,205700,1.508933,cluster1
0,205600,1.642933,cluster1
0,205500,2.063133,cluster1
0,205400,2.05775,cluster1
0,205300,2.070433,cluster1
0,205200,2.050283,cluster1
0,205100,2.004417,cluster1
0,205000,2.135683,cluster1
0,204900,2.073983,cluster1
0,204800,2.065833,cluster1
0,204700,2.051933,cluster1
0,204600,2.1259,cluster1
0,204500,2.067133,cluster1
0,204400,2.0817,cluster1
0,204300,2.133717,cluster1
0,204200,2.092717,cluster1
0,204100,2.127617,cluster1
0,204000,2.168683,cluster1
0,203900,2.146917,cluster1
0,203800,2.230533,cluster1
0,203700,2.343033,cluster1
0,203600,2.085717,cluster1
0,203500,1.884883,cluster1
0,203400,1.89175,cluster1
0,203300,1.887367,cluster1
0,203200,1.876983,cluster1
0,203100,1.988067,cluster1
0,203000,2.20165,cluster1
0,202900,2.155567,cluster1
0,202800,2.165217,cluster1
0,202700,2.140317,cluster1
0,202600,2.279417,cluster1
0,202500,2.387217,cluster1
0,202400,2.386317,cluster1
0,202300,3.360433,cluster2
0,202200,3.873417,cluster2
0,202100,3.9676,cluster2
0,202000,3.8648,cluster2
0,201900,3.7996,cluster2
0,201800,3.79635,cluster2
0,201700,3.798017,cluster2
0,201600,3.786367,cluster2
0,201500,3.775,cluster2
0,201400,3.75495,cluster2
0,201300,3.660917,cluster2
0,201200,3.739817,cluster2
0,201100,3.77235,cluster2
0,201000,3.765533,cluster2
0,200900,3.726133,cluster2
0,200800,3.806233,cluster2
0,200700,3.813867,cluster2
0,200600,3.81185,cluster2
0,200500,3.810283,cluster2
0,200400,3.71195,cluster2
0,200300,3.402317,cluster2
0,200200,3.415467,cluster2
0,200100,3.2548,cluster2
0,200000,3.229583,cluster2
0,195900,3.2268,cluster2
0,195800,3.229383,cluster2
0,195700,3.234233,cluster2
0,195600,6.514183,cluster3
0,195500,7.311617,cluster3
0,195400,4.88225,cluster6
0,195300,3.672683,cluster2
0,195200,3.694083,cluster2
0,195100,4.1255,cluster2
0,195000,5.36285,cluster6
0,194900,5.604367,cluster7
0,194800,7.678633,cluster3
0,194700,5.581733,cluster7
0,194600,7.486217,cluster3
0,194500,5.688917,cluster7
0,194400,7.071233,cluster3
0,194300,6.292983,cluster7
0,194200,6.258083,cluster7
0,194100,7.021183,cluster3
0,194000,6.022033,cluster7
0,193900,7.380317,cluster3
0,193800,5.816817,cluster7
0,193700,7.785933,cluster3
0,193600,6.31525,cluster7
0,193500,6.797867,cluster3
0,193400,6.706733,cluster3
0,193300,5.704917,cluster7
0,193200,7.343533,cluster3
0,193100,5.353533,cluster7
0,193000,7.310083,cluster3
0,192900,5.459133,cluster7
0,192800,7.53905,cluster3
0,192700,7.331517,cluster3
0,192600,5.968117,cluster7
0,192500,7.70525,cluster3
0,192400,7.704467,cluster3
0,192300,7.708733,cluster3
0,192200,7.739933,cluster3
0,192100,7.754283,cluster3
0,192000,7.722633,cluster3
0,191900,4.145933,cluster2
0,191800,2.219583,cluster1
0,191700,2.1244,cluster1
0,191600,2.099817,cluster1
0,191500,2.131433,cluster1
0,191400,2.162867,cluster1
0,191300,2.01825,cluster1
0,191200,2.042883,cluster1
0,191100,1.977033,cluster1
0,191000,1.974467,cluster1
0,190900,1.981483,cluster1
0,190800,1.980017,cluster1
